カテゴリ,画面名,機能名,説明,優先度,実装状況,備考
サブ機能,運動記録入力画面,手動記録追加,日付・種目・時間等の入力,Phase 1,未実装,
サブ機能,運動記録入力画面,運動種目選択,プルダウンまたは自由入力,Phase 1,未実装,
サブ機能,運動記録入力画面,強度設定,低・中・高の3段階,Phase 1,未実装,
サブ機能,運動記録入力画面,消費カロリー計算,自動計算または手動入力,Phase 1,未実装,
サブ機能,お知らせ一覧画面,カテゴリ別表示,重要・キャンペーン・メンテナンス等,Phase 1,未実装,
サブ機能,お知らせ一覧画面,未読・既読管理,既読状態の管理,Phase 1,未実装,
サブ機能,お知らせ一覧画面,検索機能,キーワード検索,Phase 1,未実装,
サブ機能,お知らせ詳細画面,詳細表示,HTML/Markdown対応本文,Phase 1,未実装,
サブ機能,お知らせ詳細画面,画像・リンク埋め込み,リッチコンテンツ表示,Phase 1,未実装,
サブ機能,お知らせ詳細画面,シェア機能,SNS共有,Phase 2,未実装,将来対応
サブ機能,FAQ・コラム画面,FAQ検索,カテゴリ・キーワード検索,Phase 1,未実装,
サブ機能,FAQ・コラム画面,アコーディオン表示,Q&A形式の表示,Phase 1,未実装,
サブ機能,FAQ・コラム画面,コラム記事,健康・ダイエット情報,Phase 1,未実装,
サブ機能,DNA検査結果画面,総合評価タブ,レーダーチャート・体質スコア,Phase 2,実装済み,✅完了
サブ機能,DNA検査結果画面,筋肉タイプタブ,ACTN3・ACE遺伝子分析,Phase 2,実装済み,✅完了
サブ機能,DNA検査結果画面,代謝タブ,基礎代謝・栄養素代謝分析,Phase 2,実装済み,✅完了
サブ機能,DNA検査結果画面,怪我リスクタブ,関節・腱リスク評価,Phase 2,実装済み,✅完了
サブ機能,DNA検査結果画面,詳細データタブ,全21項目リスト・PDF出力,Phase 2,実装済み,✅完了
サブ機能,DNA検査結果画面,外部サービス連携,GeneQuest/MYCODE/ジーンライフ,Phase 2,未実装,API連携必要
サブ機能,通知設定画面,通知ON/OFF,プッシュ通知の許可設定,Phase 1,未実装,
サブ機能,通知設定画面,カテゴリ別設定,お知らせ・チャレンジ等の個別設定,Phase 1,未実装,
サブ機能,通知設定画面,通知時間帯設定,開始・終了時刻の設定,Phase 1,未実装,
サブ機能,通知設定画面,プレビュー送信,テスト通知の送信,Phase 1,未実装,
サブ機能,設定画面,ホーム画面カスタマイズ,表示項目の選択,Phase 1,未実装,
サブ機能,設定画面,目標設定,来店回数・体重等の目標値,Phase 1,未実装,
サブ機能,設定画面,単位設定,kg/lb・cm/inch等,Phase 1,未実装,
サブ機能,設定画面,テーマ設定,ライト/ダークモード,Phase 3,未実装,将来対応
サブ機能,設定画面,データ連携管理,TANITA・PIXFORMANCE連携状況,Phase 1,未実装,
サブ機能,設定画面,ヘルスケア連携,Apple Health/Google Fit,Phase 2,未実装,将来対応
外部連携,PIXFORMANCE連携,AIマシンデータ取得,トレーニング記録の自動取得,Phase 1,未実装,
外部連携,TANITA連携,体組成データ取得,測定値の自動取得,Phase 1,未実装,
外部連携,SECOM連携,入退館データ取得,来館履歴の自動取得,Phase 1,未実装,
外部連携,YouTube連携,動画コンテンツ配信,FURDI公式チャンネル,Phase 1,未実装,
外部連携,DNA検査サービス連携,遺伝子データ取得,OAuth 2.0認証,Phase 2,未実装,
外部連携,Apple Health連携,ヘルスデータ同期,歩数・消費カロリー等,Phase 3,未実装,将来対応
外部連携,Google Fit連携,フィットネスデータ同期,Android向けデータ連携,Phase 3,未実装,将来対応
将来構想,AIチャットボット,自動応答,トレーニング相談・FAQ,Phase 3,未実装,
将来構想,ウェアラブル連携,デバイス連携,スマートウォッチ等,Phase 3,未実装,
将来構想,ポイントシステム,ポイント付与・利用,特典との交換,Phase 3,未実装,
将来構想,コミュニティ機能,ユーザー間交流,SNS的機能,Phase 3,未実装,
将来構想,データエクスポート,全データ出力,CSV/PDF形式,Phase 2,未実装,
